161,恋恋笔记本,336273,8.5,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
184,恐怖游轮,389539,8.4,不要企图在重复中寻找已经失去的爱。
185,模仿游戏,305672,8.6,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
186,可可西里,151620,8.7,坚硬的信仰。
187,一个叫欧维的男人决定去死,156656,8.8,惠及一生的美丽。
188,忠犬八公物语,77193,9.1,养狗三日，便会对你终其一生。
189,魔女宅急便,233807,8.5,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
190,一次别离,151992,8.7,只有有信仰的人才能说出事实真相。
191,战争之王,199025,8.6,做一颗让别人需要你的棋子。
42,哈尔的移动城堡,459421,8.9,带着心爱的人在天空飞翔。
43,辩护人,286880,9.2,电影的现实意义大过电影本身。
44,闻香识女人,414118,9.0,史上最美的探戈。
45,两杆大烟枪,327071,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
46,飞越疯人院,331446,9.0,自由万岁。
47,死亡诗社,354833,9.0,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
48,V字仇杀队,537402,8.8,一张面具背后的理想与革命。
49,海豚湾,218029,9.3,海豚的微笑，是世界上最高明的伪装。
50,教父2,241830,9.1,优雅的孤独。
162,血战钢锯岭,394243,8.7,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
140,真爱至上,364045,8.5,爱，是个动词。
141,英雄本色,220436,8.6,英雄泪短，兄弟情长。
142,超能陆战队,462676,8.6,Balalala~~~
163,燃情岁月,167125,8.7,传奇，不是每个人都可以拥有。
164,二十二,135386,8.7,有一些东西不应该被遗忘。
192,哪吒闹海,100449,8.9,想你时你在闹海。
193,完美陌生人,257937,8.6,来啊，互相伤害啊！
194,谍影重重,226800,8.5,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
195,追随,95154,8.9,诺兰的牛逼来源于内心散发出的恐惧。
196,牯岭街少年杀人事件,127647,8.8,弱者送给弱者的一刀。
197,地球上的星星,101549,8.9,天使保护事件始末。
198,谍影重重2,188897,8.6,谁说王家卫镜头很晃？
199,撞车,197930,8.6,天使与魔鬼的冲撞。
200,黑客帝国3：矩阵革命,187694,8.6,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
165,雨中曲,108090,9.0,骨灰级歌舞片。
143,唐伯虎点秋香,430956,8.5,华太师是黄霑，吴镇宇四大才子之一。
144,蝙蝠侠：黑暗骑士崛起,352116,8.6,诺兰就是保证。
145,雨人,238075,8.7,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
146,心迷宫,228616,8.7,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
147,卢旺达饭店,143209,8.9,当这个世界闭上双眼，他却敞开了怀抱。
148,傲慢与偏见,365451,8.5,爱是摈弃傲慢与偏见之后的曙光。
149,荒蛮故事,183299,8.8,始于荒诞，止于更荒诞。
150,海洋,108065,9.0,大海啊，不全是水。
201,惊魂记,101498,8.9,故事的反转与反转，分裂电影的始祖。
202,青蛇,264229,8.5,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
203,梦之安魂曲,129056,8.7,一场没有春天的噩梦。
204,海街日记,171182,8.7,是枝裕和的家庭习作。
205,小萝莉的猴神大叔,212686,8.5,宝莱坞的萝莉与大叔。
206,再次出发之纽约遇见你,207995,8.5,爱我就给我看你的播放列表。
